,id,,pg_category,,pg_desc,,createdat,,
",(",131,",'",Include,"','",비즈플레이,"',",20220708,),",(131,'Include','비즈플레이',20220708)"
",(",132,",'",Include,"','",네이버파이낸셜,"',",20220708,),",(132,'Include','네이버파이낸셜',20220708)"
",(",133,",'",Include,"','",코페이,"',",20220708,),",(133,'Include','코페이',20220708)"
",(",134,",'",Include,"','",에프케이,"',",20220708,),",(134,'Include','에프케이',20220708)"
",(",135,",'",Include,"','",한국결제인증,"',",20220708,),",(135,'Include','한국결제인증',20220708)"
",(",136,",'",Include,"','",센트비,"',",20220708,),",(136,'Include','센트비',20220708)"
",(",137,",'",Include,"','",트래블월렛,"',",20220708,),",(137,'Include','트래블월렛',20220708)"
",(",138,",'",Include,"','",페이민트,"',",20220708,),",(138,'Include','페이민트',20220708)"
",(",139,",'",Include,"','",결제선생,"',",20220708,),",(139,'Include','결제선생',20220708)"
",(",140,",'",Include,"','",한국결제대행,"',",20220708,),",(140,'Include','한국결제대행',20220708)"
",(",141,",'",Include,"','",페이봇,"',",20220708,),",(141,'Include','페이봇',20220708)"
",(",142,",'",Include,"','",주식회사컬리,"',",20220708,),",(142,'Include','주식회사컬리',20220708)"
",(",143,",'",Include,"','",코드블럭,"',",20220708,),",(143,'Include','코드블럭',20220708)"
",(",144,",'",Include,"','",에스에스지닷컴,"',",20220708,),",(144,'Include','에스에스지닷컴',20220708)"
",(",145,",'",Include,"','",카카오모빌리티,"',",20220708,),",(145,'Include','카카오모빌리티',20220708)"
",(",146,",'",Include,"','",립페이,"',",20220708,),",(146,'Include','립페이',20220708)"
",(",147,",'",Include,"','",이투유,"',",20220708,),",(147,'Include','이투유',20220708)"
",(",148,",'",Include,"','",유렉스,"',",20220708,),",(148,'Include','유렉스',20220708)"
",(",149,",'",Include,"','",한패스,"',",20220708,),",(149,'Include','한패스',20220708)"
",(",150,",'",Include,"','",tosspaymen,"',",20220708,),",(150,'Include','tosspaymen',20220708)"
",(",151,",'",Include,"','",토스페이먼츠,"',",20220708,),",(151,'Include','토스페이먼츠',20220708)"
",(",152,",'",Include,"','",Toss정산,"',",20220708,),",(152,'Include','Toss정산',20220708)"
",(",153,",'",Include,"','",글로벌머니익,"',",20220708,),",(153,'Include','글로벌머니익',20220708)"
",(",154,",'",Include,"','",한국선불카드,"',",20220708,),",(154,'Include','한국선불카드',20220708)"
